Genotype,Rep,ID,Kernel,Plump,Barley_Color,Malt_Extract,Wort_Color,Wort_Clarity,Barley_Protein,Wort_Protein,S_T,DP,aA,bG,FAN
Copeland,1,Copeland_1,40.8,92.2,48,81.4,1.8,2,10.8,5.52,55.9,87,81.4,388,194
Copeland,2,Copeland_2,42,94.1,75,79.8,1.9,2,12.5,6.07,51.2,118,88.2,289,217
Copeland,3,Copeland_3,42.1,93.8,70,80.3,2,2,11.6,6,55.5,99,87.2,299,215
117.17,1,117.17_1,40.8,92.3,72,80.1,1.7,2,11,4.72,45,79,55.9,542,137
117.17,2,117.17_2,40.6,91.6,76,78.6,1.5,2,12.9,4.84,39.9,91,55,711,137
117.17,3,117.17_3,42.3,95.7,72,79.5,1.7,2,11.7,4.86,45.2,84,53.6,576,140
120.14,1,120.14_1,46.3,92.1,77,79.4,1.5,1,13,5.81,48.1,106,80.1,388,216
120.14,2,120.14_2,46.2,95.5,69,79.9,1.5,1,13,5.9,48.2,110,84.6,421,220
120.14,3,120.14_3,46.2,94.7,67,80.8,1.6,1,12.4,5.76,50.4,90,80.8,459,217
120.17,1,120.17_1,46.1,93.2,72,81.3,2.2,2,12,5.76,50,94,76.3,270,192
120.17,2,120.17_2,44.3,91.1,74,79.7,1.7,1,13.7,6.01,44.1,122,80,311,205
120.17,3,120.17_3,46.5,94.3,83,80.2,1.9,2,12.3,5.69,46.6,106,76.9,294,207
