Maltster,Entry,Rep,ID,Full ID,BP,PLMP,FGME,SP,KI,bG,DP,aA,FAN
Hartwick,Copeland,1,Copeland_1,Hartwick_Copeland_1,10.6,92.4,82,5.72,54,129,109,70.1,257
Hartwick,Copeland,2,Copeland_2,Hartwick_Copeland_2,12.2,94.2,80.6,6.06,49.7,194,124,73.7,267
Hartwick,Copeland,3,Copeland _3,Hartwick_Copeland_3,11.5,94.3,81,5.94,51.7,143,112,70.1,275
Hartwick,117.17,1,117.17_1,Hartwick_117.17_1,10.5,91.3,80.2,4.31,41,211,98,56.4,164
Hartwick,117.17,2,117.17_2,Hartwick_117.17_2,12.6,91.4,78.9,4.6,36.5,267,113,60,185
Hartwick,117.17,3,117.17_3,Hartwick_117.17_3,11.5,85,79.6,4.32,37.6,286,103,55.2,168
Hartwick,120.14,1,120.14_1,Hartwick_120.14_1,12.6,93.9,80.2,5.78,45.9,158,124,78,260
Hartwick,120.14,2,120.14_2,Hartwick_120.14_2,13,96.1,80,5.72,44,226,127,76.4,250
Hartwick,120.14,3,120.14_3,Hartwick_120.14_3,12.2,94.4,81.1,5.71,46.8,224,119,75,263
Hartwick,120.17,1,120.17_1,Hartwick_120.17_1,11.4,93.9,80.5,5.56,48.8,121,119,72,241
Hartwick,120.17,2,120.17_2,Hartwick_120.17_2,13.4,91.3,79.5,6.01,44.9,112,148,77.6,289
Hartwick,120.17,3,120.17_3,Hartwick_120.17_3,12.5,95.3,79.9,5.58,44.6,167,125,70.8,251
CCRU,Copeland,1,Copeland_1,CCRU_Copeland_1,10.8,92.2,81.4,5.52,55.9,388,87,81.4,194
CCRU,Copeland,2,Copeland_2,CCRU_Copeland_2,12.5,94.1,79.8,6.07,51.2,289,118,88.2,217
CCRU,Copeland,3,Copeland_3,CCRU_Copeland_3,11.6,93.8,80.3,6,55.5,299,99,87.2,215
CCRU,117.17,1,117.17_1,CCRU_117.17_1,11,92.3,80.1,4.72,45,542,79,55.9,137
CCRU,117.17,2,117.17_2,CCRU_117.17_2,12.9,91.6,78.6,4.84,39.9,711,91,55,137
CCRU,117.17,3,117.17_3,CCRU_117.17_3,11.7,95.7,79.5,4.86,45.2,576,84,53.6,140
CCRU,120.14,1,120.14_1,CCRU_120.14_1,13,92.1,79.4,5.81,48.1,388,106,80.1,216
CCRU,120.14,2,120.14_2,CCRU_120.14_2,13,95.5,79.9,5.9,48.2,421,110,84.6,220
CCRU,120.14,3,120.14_3,CCRU_120.14_3,12.4,94.7,80.8,5.76,50.4,459,90,80.8,217
CCRU,120.17,1,120.17_1,CCRU_120.17_1,12,93.2,81.3,5.76,50,270,94,76.3,192
CCRU,120.17,2,120.17_2,CCRU_120.17_2,13.7,91.1,79.7,6.01,44.1,311,122,80,205
CCRU,120.17,3,120.17_3,CCRU_120.17_3,12.3,94.3,80.2,5.69,46.6,294,106,76.9,207
