Panelist,Genotype,unique_ID,SampleOrder,Rank,CATA_aroma,CATA_all,Desc,NewDesc,DescCoded
1,Copeland,1_Copeland,1,1,"Floral,Herbacious","Floral,Herbacious, Body-Density-Light",Aroma is lightly floral. Body is light. Flavor-easy drinking-smooth-aftertaste herbal.,"easy drinking, smooth","floral, light, smooth, herbacious"
1,117.17,1_117.17,2,2,"Grassy,Woody","Grassy,Woody, Bitter",Aroma is woody. Body is light. Flavor is grassy-finish is slight bite/acidity at end.,,"woody, light, grassy, sour"
1,120.14,1_120.14,3,3,Herbacious,"Herbacious, Bitter","No particular aroma. ody is light. Flavor starts clean/fresh, ends bitter",clean flavor,"light, bitter"
1,120.17,1_120.17,4,4,Grassy,"Grassy, Sour",No particular aroma. Body is light. Flavor is grasslike.,low aroma,"light, grassy"
3,120.17,3_120.17,1,1,"Floral,Grassy","Floral,Grassy, Bitter, Afterfeel-Slippery-High, Irritation-Carbonation-Tingle, Body-Density-Light, Effervescence-BubbleDensity-Compact","Slightly sour, mild hoppiness, strong carbonation",hoppy,"sour, irritation_carbonation_burning"
3,120.14,3_120.14,2,2,Grassy,"Grassy, Sour, Afterfeel-Astringency-Drying, Irritation-Carbonation-Tingle, Body-Density-Light, Body-Viscosity-Thin","Bland, not much flavor, slightly drying",bland,drying
3,117.17,3_117.17,3,4,Floral,"Floral, Sour, Afterfeel-Astringency-Low, Irritation-Carbonation-Tingle, Effervescence-BubbleDensity-Dispersed, Body-Density-Light","Sour, not too carbonated",,"sour, irritation_carbonation_tingle"
3,Copeland,3_Copeland,4,3,Fruity,"Fruity, Fruity-Tropical, Sour, Effervescence-BubbleDensity-Dispersed, Body-Viscosity-Thin, Irritation-Carbonation-Tingle","Medium astringency, slightly sour aftertaste",sour aftertaste,"drying, sour"
4,117.17,4_117.17,1,2,"Fruity,Cereal","Sour, Cereal, Cereal-Malt, Fruity, Fruity-Citrus",Yeasty with slight citrus,yeasty,"fruity, citrus"
4,120.17,4_120.17,2,1,Fruity,"Fruity, Fruity-Citrus, Bitter",Light nose with slight fruit finish,low aroma,fruity
4,Copeland,4_Copeland,3,3,Fruity,"Bitter, Fruity, Fruity-Citrus, Fruity-Citrus-Grapefruit",Well balance malt,balanced,"cereal, malt"
4,120.14,4_120.14,4,4,Fruity,"Fruity, Fruity-Citrus, Fruity-Citrus-Lime, Fruity-Citrus-Lime-Peel",Malt or grain with a bit of sour,,"cereal, malt, grain, sour"
5,Copeland,5_Copeland,1,3,"Nutty,Cereal","Nutty, Nutty-Walnut, Cereal, Cereal-Biscuit","Biscuit, with slight hint of a nutty taste. Mild color",,"cereal, biscuit, nutty"
5,117.17,5_117.17,2,4,"Floral,Woody","Floral,Woody, Woody-Pine","Woody flavor with a floral smell, light in color.",,"woody, floral"
5,120.14,5_120.14,3,1,"Fruity,SweetAromatic","Fruity, Fruity-Pear, SweetAromatic, SweetAromatic-SugarCane","Sweet aromatic smell, fruity flavor, dark in color",,"sweet aromatic, fruity"
5,120.17,5_120.17,4,2,Grassy,Grassy,"Floral smell, grassy to herbish taste. Dark in color",,"floral, grassy, herbacious"
6,120.14,6_120.14,1,1,,Sweet,"Smooth, citrus, light","smooth, light","citrus, light"
6,Copeland,6_Copeland,2,2,,,"Hoppy, great taste","hoppy, good taste",0
6,120.17,6_120.17,3,3,Stale,Stale,"Stale, fat",,"stale, waxy, fat"
6,117.17,6_117.17,4,4,,Bitter,Bitter,,bitter
7,120.17,7_120.17,1,3,"Woody,Cereal,Vegetal,Dairy","Body-Particulate-Smooth, Vegetal, Vegetal-Cucumber, Woody, Woody-Eucalyptus, Body-Density-Heavy, Cereal, Cereal-Malt","Malty, bitter, subtle cucumber, pilsner?",,"cereal, malt, bitter, vegetal, cucumber"
7,120.14,7_120.14,2,2,"Nutty,Burnt,Dairy","Nutty, Body-Particulate-Smooth, Bitter, Vegetal, Vegetal-Corn, Vegetal-Corn-Cooked","Malty, roasted corn, mild bitterness",,"cereal, malt, vegetal, corn, cooked corn, bitter"
7,117.17,7_117.17,3,4,"Fruity,Nutty,Dairy","Nutty, Nutty-Almond, Dairy, Dairy-Butter, Fruity, Fruity-Citrus, Afterfeel-Slippery-High","Soil, heavy in mouth, medium body",,"earthy, soil, heavy, thick"
7,Copeland,7_Copeland,4,1,"Fruity,SweetAromatic,Herbacious,Earthy","Fruity, Fruity-Tropical, Fruity-Tropical-Banana, Herbacious, Herbacious-Rosemary, SweetAromatic, SweetAromatic-Toffee, Earthy, Earthy-Mushroom","I like this on ethe best. Brighter flavor, lemon rind, mild bitterness",favorite,"fruity, citrus, lemon, lemon peel, bitter"
8,117.17,8_117.17,1,2,"Earthy,Meaty","Earthy, Meaty",The flavor is good but a little heavy for me,"good flavor, heavy",heavy
8,120.17,8_120.17,2,4,Cereal,Cereal,"Definitely a heavy, strong brew.","heavy, strong",heavy
8,Copeland,8_Copeland,3,1,SweetAromatic,SweetAromatic,A good light taste,good taste,light
8,120.14,8_120.14,4,3,Metallic,Metallic,Too light,light,light
9,Copeland,9_Copeland,1,1,,"Woody, Grassy","Woody, grassy",,"woody, grassy"
9,117.17,9_117.17,2,4,,"Spicy, Ripe","grass, spicy, ripe",,"grassy, spicy, ripe"
9,120.14,9_120.14,3,3,,"Bitter, Fruity, Fruity-Citrus, Fruity-Citrus-Grapefruit",Bitter,,bitter
9,120.17,9_120.17,4,2,,"Spicy, Sweet","Spicy, sweet",,"spicy, sweet"
10,120.14,10_120.14,1,2,Ripe,"Ripe, Ripe-Sweat","Mellow, ripe sweat",,"ripe, sweat"
10,Copeland,10_Copeland,2,1,Medicinal,"Medicinal, Medicinal-BandAid","Nice body, band aid",nice body,"medicinal, band-aid"
10,120.17,10_120.17,3,4,Medicinal,"Medicinal, Medicinal-Rubber","Medicinal, rubber",,"medicinal, rubber"
10,117.17,10_117.17,4,3,"Herbacious,Stale","Herbacious, Earthy, Earthy-Musty","Herbaceous, musty",,"herbacious, earthy, musty"
11,120.17,11_120.17,1,2,Cereal,"Cereal, Cereal-Malt","Light, slight to medium maltiness, nice aroma",nice aroma,"light, cereal, malt"
11,120.14,11_120.14,2,3,Cereal,"Cereal, Cereal-Malt","Light, very slight maltiness, some aroma","light, low aroma","light, cereal, malt"
11,117.17,11_117.17,3,1,Cereal,"Cereal, Cereal-Malt","Light, very slight maltiness, moderate aroma",light,"light, cereal, malt"
11,Copeland,11_Copeland,4,4,Cereal,"Cereal, Cereal-Malt","Light, close to #2, richer maltiness, moderate aroma",light,"light, cereal, malt"
12,117.17,12_117.17,1,2,,,"Mild, almost flavorless, medicinal smell-2nd sniff",bland,medicinal
12,120.17,12_120.17,2,1,Grassy,Grassy,"Almost no smell, grassy",low aroma,grassy
12,Copeland,12_Copeland,3,3,Fruity,Fruity,"Tart, fruity",,"tart, fruity"
12,120.14,12_120.14,4,4,,,ripe,,ripe
13,Copeland,13_Copeland,1,2,,Sweet,Mouthfeel sweet,,sweet
13,117.17,13_117.17,2,1,,Bitter,Bitter aroma,,bitter
13,120.14,13_120.14,3,4,,Body-Particulate-Smooth,Good smooth,smooth,0
13,120.17,13_120.17,4,3,,Body-Particulate-Smooth,Flavor smooth,smooth,0
14,120.14,14_120.14,1,1,"Floral,SweetAromatic","Sweet, Floral","Sweet, light, refreshing","light, refreshing","sweet, light"
14,Copeland,14_Copeland,2,3,Grassy,Grassy,Tastes a bit like Oly,tastes like a macro brand,0
14,120.17,14_120.17,3,4,Grassy,Grassy,"Very light, almost watery","light, watery",light
14,117.17,14_117.17,4,2,Earthy,Earthy,Sharp tangy smell-in a nice way,sharp; nice,0
15,120.17,15_120.17,1,4,,,illegible,,0
15,120.14,15_120.14,2,2,,,little more body than 161,,0
15,117.17,15_117.17,3,1,,,light/sweet,light,"light, sweet"
15,Copeland,15_Copeland,4,3,,,Bland,bland,0
16,117.17,16_117.17,1,3,Grassy,"Bitter, Body-Density-Heavy, Grassy","Cereal, slippery, smooth small bubbles, medium body",smooth,"cereal, slippery, smooth, small bubbles, heavy"
16,120.17,16_120.17,2,1,Earthy,"Earthy, Body-Particulate-Smooth, Body-Density-Heavy","Cereal, nutty, medium viscosity",,"cereal, nutty, thick"
16,Copeland,16_Copeland,3,4,Vegetal,"Body-Density-Light, Vegetal","Light, not as bitter",light,light
16,120.14,16_120.14,4,2,,"Bitter, Effervescence-BubbleSize-Small","Heavier body, malty, thicker viscosity",heavy,"heavy, cereal, malt, thick"
17,Copeland,17_Copeland,1,4,Ripe,"Bitter, Ripe, Body-Density-Light, Body-Viscosity-Thin",Wheaty/hoppy. Tastes a bit like undergrad college. Very light. Bitter and slightly waxy.,"tastes like a macro brand, light","cereal, grain, light, bitter, waxy"
17,117.17,17_117.17,2,1,"Fruity,Floral","Fruity, Fruity-Citrus, Floral, Irritation-Cooling, Body-Particulate-Smooth",Woody flavor with a bitter taste. Maybe stone fruit notes,,"woody, bitter, fruity, stone fruit"
17,120.14,17_120.14,3,2,"Fruity,Metallic,Stale","Stale, Metallic, Fruity, Fruity-StoneFruit",Bitter and slightly flat taste,flat,"bitter, flat"
17,120.17,17_120.17,4,3,"Floral,Grassy","Grassy, Body-Density-Light",Dry taste with light feel,light,"drying, light"
18,120.14,18_120.14,1,4,"Cereal,Stale","Cereal, Stale, Body-Density-Light","Light and yeasty, subtle sweetness","light, yeasty","light, sweet"
18,Copeland,18_Copeland,2,3,Metallic,"Metallic, Body-Density-Light, Effervescence-BubbleDensity-Compact","Light, slight metallic",light,"light, metallic"
18,120.17,18_120.17,3,1,Fruity,"Fruity, Body-Density-Light, Fruity-Coconut","Mild, fruity...coconut-ish..? melon...?",mild,"fruity, coconut, melon"
18,117.17,18_117.17,4,2,"Metallic,Dairy,Stale","Metallic, Dairy, Stale, Dairy-Butter","Mild, smooth, kinda buttery","mild, smooth","smooth, dairy, butter"
19,120.17,19_120.17,1,1,Woody,"Woody, Body-Density-Light","Good nose, pleasant taste, no aftertaste, smooth","nice aroma, good taste, smooth, no aftertaste",smooth
19,120.14,19_120.14,2,3,Floral,Floral,"Bit of bitter aftertaste, nice aroma","nice aroma, bitter aftertaste",bitter
19,117.17,19_117.17,3,2,Earthy,"Earthy, Earthy-Mushroom","Earthy, heavy",heavy,"earthy, heavy"
19,Copeland,19_Copeland,4,4,,"Sour, Afterfeel-Astringency-Drying, Body-Density-Heavy","Heavy taste, sour aftertaste, dry","heavy, sour aftertaste","heavy, sour, drying"
20,117.17,20_117.17,1,4,,Bitter,Little hoppy and tart,hoppy,sour
20,120.17,20_120.17,2,1,Fruity,"Sour, Fruity, Fruity-Pear","Mild and smooth, no hoppy taste","mild, smooth",smooth
20,Copeland,20_Copeland,3,3,,Sour,"Taste the malt and hops, little sharp bite","hoppy, sharp","cereal, malt, sharp"
20,120.14,20_120.14,4,2,Cereal,"Cereal, Sweet","Mild, smooth","mild, smooth",smooth
21,Copeland,21_Copeland,1,2,Fruity,"Fruity, Fruity-Pear, Effervescence-BubbleDensity-Dispersed","Fruity, bubbly",,"fruity, bubbly"
21,117.17,21_117.17,2,4,,Effervescence-BubbleDensity-Compact,"Weak, on the bitter side",bland,bitter
21,120.14,21_120.14,3,1,Fruity,"Fruity, Body-Particulate-Smooth",Light smooth fine bubbles,"light, smooth","smooth, small bubbles"
21,120.17,21_120.17,4,3,,Bitter,Don't like the aftertaste,,0
22,120.14,22_120.14,1,3,,Sweet,"Sweet aroma, salty sweet taste, cooling/slight spice, thin dry",,"sweet, salty, cooling, spicy, thin, drying"
22,Copeland,22_Copeland,2,1,Woody,Woody,"Little to no aroma, woody (cedar), medium body, left me with somewhat soapy aftertaste, bitter","low aroma, bad aftertaste","woody, cedar, heavy, slipper, bitter"
22,120.17,22_120.17,3,2,Fruity,Fruity,"Light floral. Fruity with faint citrus, sweet, moderate carbonation, medium body, almost bitter aftertaste",bitter aftertaste,"floral, fruity, citrus, sweet, irritation_carbonation_burning, heavy, bitter"
22,117.17,22_117.17,4,4,,Earthy,"Earthy, bitter, ripe/mossy",,"earthy, bitter, ripe, moss"
23,120.17,23_120.17,1,1,"Burnt,Waxy","Burnt, Waxy, Body-Density-Light","Light, sharp, airy, similar to a Bud Light","tastes like a macro brand, light, sharp","light, sharp"
