Panelist,Freq,Serv,PrefOneStyle,ImpLocalIng,PayLocal,AwareLocalOpp,SATAPurchFactors,otherFactor,Gender,AgeRange,RaceEthnic,SATAPurchFactors_coded
1,A few times a week,Two,Slightly agree,Agree very much,Agree very much,Extremely agree,"Unique flavors,Beer style,Notable ingredients (i.e. local, organic, other)",0,Female,61+,"White/Caucasian, European American, Non-Hispanic","Flavors,Style,Ingredients"
3,A few times a week,Three,Agree very much,Agree very much,Extremely agree,Extremely agree,"Season or weather,Unique flavors,Beer style,Brand,Label,Price,Location of brewery,Notable ingredients (i.e. local, organic, other)",0,Female,51-60,"White/Caucasian, European American, Non-Hispanic","Season,Flavors,Style,Brand,Label,Price,Location,Ingredients"
4,A few times a week,Two,Agree very much,Agree very much,Extremely agree,Moderately agree,Location of brewery,0,Male,61+,"White/Caucasian, European American, Non-Hispanic",Location
5,Every day,One,Neither disagree or agree,Neither disagree or agree,Slightly agree,Slightly agree,Season or weather,0,Male,31-40,"White/Caucasian, European American, Non-Hispanic",Season
6,Once a week,One,Agree very much,Moderately agree,Moderately agree,Agree very much,"Season or weather,Unique flavors,Brand,Location of brewery,Notable ingredients (i.e. local, organic, other)",0,Male,31-40,"White/Caucasian, European American, Non-Hispanic","Season,Flavors,Brand,Location,Ingredients"
7,Once a week,Two,Agree very much,Strongly disagree,Moderately agree,Neither disagree or agree,Beer style,0,Female,41-50,"White/Caucasian, European American, Non-Hispanic",Style
8,A few times a week,Two,Moderately agree,Neither disagree or agree,Extremely agree,Moderately agree,Beer style,0,Female,61+,"White/Caucasian, European American, Non-Hispanic",Style
9,A few times a week,Three,Moderately agree,Extremely agree,Extremely agree,Agree very much,"Unique flavors,Beer style",0,Female,41-50,"White/Caucasian, European American, Non-Hispanic","Flavors,Style"
10,Once or twice a month,Three,Disagree very much,Moderately agree,Slightly agree,Extremely agree,"Season or weather,Unique flavors",0,Male,41-50,"White/Caucasian, European American, Non-Hispanic","Season,Flavors"
11,Every day,Two,Slightly agree,Agree very much,Extremely agree,Extremely agree,Unique flavors,0,Male,61+,"White/Caucasian, European American, Non-Hispanic",Flavors
12,Once or twice a month,One,Extremely agree,Agree very much,Agree very much,Agree very much,"Beer style,Label",0,Female,51-60,Other,"Style,Label"
13,Once or twice a month,One,Strongly disagree,Moderately agree,Agree very much,Extremely agree,Unique flavors,0,Female,61+,American Indian or Alaskan Native,Flavors
14,Once a week,Four or more,Neither disagree or agree,Slightly agree,Moderately agree,Extremely agree,"Notable ingredients (i.e. local, organic, other)",0,Female,21-30,Pacific Islander,Ingredients
15,A few times a week,Two,Agree very much,Neither disagree or agree,Moderately agree,Agree very much,Beer style,0,Male,61+,"White/Caucasian, European American, Non-Hispanic",Style
16,A few times a week,Two,Moderately agree,Slightly disagree,Slightly agree,Agree very much,Unique flavors,0,Male,61+,"White/Caucasian, European American, Non-Hispanic",Flavors
17,Once a week,Two,Moderately agree,Neither disagree or agree,Moderately agree,Agree very much,"Season or weather,Unique flavors,Beer style,Brand,Location of brewery",0,Female,21-30,"White/Caucasian, European American, Non-Hispanic","Season,Flavors,Style,Brand,Location"
18,Every day,One,Moderately agree,Moderately agree,Extremely agree,Moderately agree,Beer style,0,Female,21-30,"White/Caucasian, European American, Non-Hispanic",Style
19,Occasionally,One,Agree very much,Extremely agree,Agree very much,Extremely agree,"Season or weather,Location of brewery",0,Female,61+,"White/Caucasian, European American, Non-Hispanic","Season,Location"
20,A few times a week,Three,Agree very much,Moderately agree,Agree very much,Agree very much,Beer style,0,Female,51-60,"White/Caucasian, European American, Non-Hispanic",Style
21,A few times a week,One,Extremely agree,Extremely agree,Agree very much,Agree very much,Beer style,0,Female,61+,"White/Caucasian, European American, Non-Hispanic",Style
22,Once or twice a month,Two,Moderately agree,Neither disagree or agree,Slightly agree,Slightly agree,Unique flavors,0,Female,51-60,"White/Caucasian, European American, Non-Hispanic",Flavors
23,A few times a week,One,Moderately agree,Slightly agree,Agree very much,Slightly agree,Unique flavors,0,Male,51-60,"White/Caucasian, European American, Non-Hispanic",Flavors
24,Every day,One,Slightly agree,Strongly disagree,Disagree very much,Moderately agree,Other:,taste,Male,41-50,"White/Caucasian, European American, Non-Hispanic",Other
25,A few times a week,Two,Extremely agree,Neither disagree or agree,Extremely agree,Moderately agree,Beer style,0,Female,41-50,"White/Caucasian, European American, Non-Hispanic",Style
26,Once or twice a month,Two,Slightly agree,Extremely agree,Slightly agree,0,Other:,"why is flavor not a choice, seems like someone doesn't care about taste like I do",Male,21-30,Prefer not to answer,Other
27,Once or twice a month,Two,Disagree very much,Neither disagree or agree,Agree very much,Agree very much,"Season or weather,Unique flavors,Price",0,Female,51-60,"Asian, Asian American","Season,Flavors,Price"
28,Once or twice a month,Two,Agree very much,Neither disagree or agree,Slightly agree,Slightly agree,Beer style,0,Male,61+,Prefer not to answer,Style
