Panelist,Genotype_Original,genotype,Unique_ID,rank,Moisture,Friability,FGME,Color,bG,SP,TP,KI,FAN,DP,aA
1,Rank_161_120.17,120.17,1_120.17,4,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
3,Rank_161_120.17,120.17,3_120.17,1,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
4,Rank_161_120.17,120.17,4_120.17,1,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
5,Rank_161_120.17,120.17,5_120.17,2,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
6,Rank_161_120.17,120.17,6_120.17,3,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
7,Rank_161_120.17,120.17,7_120.17,3,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
8,Rank_161_120.17,120.17,8_120.17,4,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
9,Rank_161_120.17,120.17,9_120.17,2,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
10,Rank_161_120.17,120.17,10_120.17,4,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
11,Rank_161_120.17,120.17,11_120.17,2,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
12,Rank_161_120.17,120.17,12_120.17,1,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
13,Rank_161_120.17,120.17,13_120.17,3,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
14,Rank_161_120.17,120.17,14_120.17,4,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
15,Rank_161_120.17,120.17,15_120.17,4,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
16,Rank_161_120.17,120.17,16_120.17,1,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
17,Rank_161_120.17,120.17,17_120.17,3,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
18,Rank_161_120.17,120.17,18_120.17,1,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
19,Rank_161_120.17,120.17,19_120.17,1,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
20,Rank_161_120.17,120.17,20_120.17,1,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
21,Rank_161_120.17,120.17,21_120.17,3,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
22,Rank_161_120.17,120.17,22_120.17,2,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
23,Rank_161_120.17,120.17,23_120.17,1,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
24,Rank_161_120.17,120.17,24_120.17,1,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
25,Rank_161_120.17,120.17,25_120.17,2,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
26,Rank_161_120.17,120.17,26_120.17,2,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
27,Rank_161_120.17,120.17,27_120.17,1,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
28,Rank_161_120.17,120.17,28_120.17,3,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
29,Rank_161_120.17,120.17,29_120.17,4,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
30,Rank_161_120.17,120.17,30_120.17,3,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
31,Rank_161_120.17,120.17,31_120.17,2,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
32,Rank_161_120.17,120.17,32_120.17,2,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
33,Rank_161_120.17,120.17,33_120.17,3,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
34,Rank_161_120.17,120.17,34_120.17,4,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
35,Rank_161_120.17,120.17,35_120.17,3,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
36,Rank_161_120.17,120.17,36_120.17,3,4.1,78.2,78.8,1.64,364,4.63,12.5,37,158,112,46.6
